,text,score
0,j jim whitehead ejw cse ucsc edu writes j you open sourced the new components you developed for this j project so the next person who comes along won t have to j reimplement them right no need all those components already exist either in the java class libraries or from the various java jar collections most of the classes i used came from the jakarta project and apachexml but if it s any consolation my threading of them all together into a newswire server is gpl and available on sourceforge gary lawrence murphy garym teledyn com teledynamics communications inc business advantage through community software url computers are useless they can only give you answers pablo picasso,"[[5.4101433753967285, -5.1205949783325195]]"
1,original message from bitbitch magnesium net people are screaming and shouting over the political figures because they cannot be heard in any other way what are they illiterate mute what s their problem if somebody stops them from posting web pages or printing newsletters or talking on the phone or organizing their own conference then that would be wrong i don t think free speech is a license to speak directly at and be in the physical presence of any particular individual of your choosing especially when that individual is busy doing something else and isn t interested,"[[5.012455940246582, -4.810161113739014]]"
2,java for managers vince durasoft who just taught the java class for our group offers a 3 day short course in java for managers details are below if you are interested stinsonforwarded by stinson gibner hou ect on 04 16 2001 12 16 pm siva thiagarajan on 04 16 2001 11 25 50 am please respond to siva thiagarajan to cc subject java for managers hi stinson thanks for meeting with us on thursday we enjoyed talking with you as per our discussion i have attached the course outline of java for managers along with this email after our conversation with you we think this course may be a little bit heavy for your group but we can definetly take it down to concepts level and make it appropria,"[[5.382344722747803, -5.096222877502441]]"
3,there is a youtuber name saiman says,"[[4.389662265777588, -4.207547187805176]]"
4,underpriced issue with high return on equity the oil and gas advisory now that oil and gas has entered a long term bul market our speciaity in pinpointing the hottest companies of the few remaining undervaiued energy plays has produced soaring returns emerson oi and gas eogi is an energy developer in the us oil belt and in canada s most highiy coveted reservoirs with generating potentia of millions per week breaking news emerson oil and gas inc eogi is pleased to announce that the aiberta energy utiiity board has issued license no o 330206 for the company s we 11 16 24 2 the acadia project the acadia project consists of 15 sections in aiberta in an area that produces natura gas from the viking formation has oi potentia in the bakken zone and g,"[[-4.222498416900635, 4.146311283111572]]"
5,aight lemme know whats up,"[[5.218491077423096, -4.981878757476807]]"
6,hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,"[[4.8555908203125, -4.601742744445801]]"
7,carnegie mellon recruiting good afternoon i have forwarded your email to kristin gandy she is heading up our cmu recruiting effort some contact info 713 345 3214 kristin gandy enron com we are very interested in the comp fin students and would tentatively like to interview them in december probably the week of the 11 th and around the same time that we come to interview the mba s i m uncertain as to the proper path forward could you provide some details regards kevin kindall sallygould on 11 16 2000 03 38 44 pm to kevin kindall enron com cc subject carnegie mellon recruiting kevin jean eisel asked that i connect with you about recruiting comp finance students please contact me with questions you might have about the recruiting process or,"[[5.3954315185546875, -5.157142639160156]]"
8,cv of rodney greene re quantitative positions vince would you have any interest in this candidate kind regards amyforwarded by amy fitzpatrick lon ect on 21 02 2000 09 34 bryan seyfried 18 02 2000 19 50 to amy fitzpatrick lon ect ect cc subject cv of rodney greene re quantitative positions probably a bit to techy for me but maybe a good fit for vince kaminski in houston research bs amy fitzpatrick 17 02 2000 12 52 to david port corp enron enron david weekes lon ect ect steve w young lon ect ect bryan seyfried lon ect ect cc subject cv of rodney greene re quantitative positions any thoughts on this candidate kind regards amyforwarded by amy fitzpatric,"[[5.335954666137695, -5.133357524871826]]"
9,i cant able to cos of me he drunk today im really stupid i shouldnt hurt him,"[[5.350450038909912, -5.0606207847595215]]"
